"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"Gayatri Sugars","Sugar","377.11","7.04","224.63","33.62","-0.9","189.99","131.42","0","22.51"
"GCM Capital","Finance & Investments","1.41","0.52","0.72","0.37","-12.8","29.52","0.71","1.9","7.1"
"GCM Commodity","Finance & Investments","2.97","-0.68","2.14","0.05","0","29.2","0.0","-4.54","6.56"
"GCM Securit.","Finance & Investments","0.0","-0.38","0.0","-0.05","0","23.36","0.0","-2.79","1.0"
"Gconnect Logitec","Miscellaneous","4.01","0.24","1.89","0.01","0","4.13","0.0","31.17","73.5"
"GE Power","Engineering - Turnkey Services","1624.76","-171.33","390.76","25.94","13.43","2580.83","162.66","-113.72","404.05"
"GE Shipping Co","Shipping","5255.17","2614.18","1497.33","905.08","2.84","16807.86","3048.3","23.06","1225.0"
"GE T&D India","Electric Equipment","3167.91","181.05","913.6","66.29","29.95","3584.39","41.82","15.64","1536.0"
"GEE","Electrodes - Welding Equipment","369.14","12.86","91.91","0.84","-7.67","323.56","81.61","6.47","121.15"
"GeeCee Vent.","Construction","96.68","37.22","63.14","17.9","1358.2","729.08","0.0","6.17","382.45"
"Geekay Wires","Steel - Medium / Small","411.55","38.53","98.71","9.87","-4.7","232.28","73.22","42.12","92.52"
"Geetanjali Cred.","Finance & Investments","0.01","0.0","0.01","0.01","0","3.26","0.02","0.0","4.75"
"Gem Enviro","Miscellaneous","42.5","10.02","0","0","0","35.75","0.0","48.57","173.15"
"Gem Spinners","Textiles - Cotton/Blended","0.0","-0.58","0.0","-0.16","0","6.93","0.0","0","3.52"
"Gemstone Invest.","Finance & Investments","2.11","0.35","0.58","-0.64","65.71","24.57","0.0","1.44","1.78"
"General Insuranc","Finance & Investments","45374.94","6685.88","10254.16","2580.42","-3.77","184452.25","0.0","13.31","385.8"
"Generic Engineer","Construction","289.36","11.14","140.4","4.33","61.73","463.28","67.67","4.37","48.41"
"Genesys Intl.","Computers - Software - Medium / Small","198.24","21.61","71.17","14.79","52.66","634.6","59.52","4.93","601.0"
"Gennex Lab.","Pharmaceuticals - Indian - Bulk Drugs","91.62","13.18","35.52","4.5","70.77","229.99","18.94","10.51","15.65"
"Genomic Valley","Miscellaneous","0.17","0.02","0.0","-0.04","-100.0","4.33","0.0","0.57","62.7"
"Genpharmasec","Trading","30.41","-0.17","10.2","-0.27","63.99","71.13","3.89","-0.33","2.16"
"Gensol Engineer.","Engineering - Turnkey Services","963.1","53.46","398.82","19.78","143.29","2327.8","1509.62","20.0","1049.75"
"Genus Paper & Bo","Paper","711.84","3.46","184.42","0.47","-17.43","1018.73","339.66","0.73","20.28"
"Genus Power","Electronics - Components","1200.58","75.17","420.12","31.37","107.65","2758.23","587.95","5.9","325.1"
"Genus Prime","Construction","0.23","-2.0","0.03","0.0","-40.0","69.57","21.63","-4.05","18.59"
"Geojit Fin. Ser.","Finance & Investments","623.29","149.38","208.13","51.91","87.81","2020.29","397.66","18.61","103.15"
"Getalong Enterp.","Miscellaneous","1.7","-1.9","1.37","-2.25","0","13.17","1.71","16.92","195.0"
"GFL","Finance & Investments","3.2","-7.57","0.8","-20.49","0.0","2732.11","0.0","-0.29","82.36"
"GHCL","Chemicals","3446.54","793.9","823.38","124.86","-26.47","3769.56","210.08","17.27","554.35"
"GHCL Textiles","Textiles - Spinning - Synthetic / Blended","1053.87","25.05","286.15","10.25","0","1632.86","71.82","3.52","91.07"
"Gian Lifecare","Healthcare","13.12","4.3","4.6","2.2","196.77","32.07","4.16","24.62","21.33"
